1,2,3,4,5
8.506041557897493,5.104181881077978,-13.527911032521956,8.018576012580052,5.307721889917856
10.751112219139078,4.251715999222766,-13.349188312414622,7.2144631877437435,4.829779058528592
9.371791526687964,2.3256766949714702,-14.233082461810215,9.544675335925028,3.9165972324484333
5.781639689575026,1.2464506543721328,-14.591551445443383,11.176585324274612,2.100213605590376
3.719783439995762,-0.3361500610288637,-15.934444293825964,11.336712462782607,0.9766616229048797
2.321862035938369,-1.3630188229333609,-17.612203304635848,12.736783714168233,1.0815099998740454
4.998696881415995,-0.8262444193951506,-19.623312867083786,14.309021791303135,2.0771201710949594
6.79947975816452,-0.23455743519960492,-21.23162344863909,15.267370356703509,3.0662258879706217
5.686391653575334,1.0287893861908302,-22.439823030626215,18.874928375341806,2.5106026756662905
2.5888769246247847,0.8796411123794527,-24.430420602091637,19.83502991434886,1.789530790181955
-0.06638042191449589,-0.8934569428184389,-26.59825310937856,19.519256270636625,-0.4664850792221751
-2.2267171094828107,-2.282089266768523,-29.25522175763075,18.342090413194853,-2.26030622516322
0.46394843299639943,-3.411991910294823,-31.871316736337924,14.31463767736427,-2.9629652555524553
2.8674385374837064,-5.787753189946656,-33.59822696107579,9.012514187061711,-3.1551610408204627
4.424128111891808,-8.424462782239107,-35.84942796697887,4.7603692939804985,-4.071238146868322
7.248267409223581,-9.134885217189076,-36.55187761654508,-1.0487707370749684,-4.088015825424691
9.52808584776734,-10.00307041497329,-37.04247588992473,-6.189126473968126,-3.430616460337034
12.13170402665935,-10.811200017274555,-37.007536356412494,-10.338938735173969,-4.978054850822918
15.035896779138948,-11.788920909618309,-35.21153228446708,-11.554510957427734,-8.292567452436082
18.9095339260567,-12.39190138558003,-34.66282114795619,-11.270053896890937,-10.781076660038407
19.393160976273627,-12.376543428466437,-34.98059170117237,-10.965897149365787,-12.87560649419059
20.474173421909576,-11.618184420931197,-35.52424442597215,-10.899804064157244,-15.515751271920843
21.431330662360804,-10.337801106037904,-36.643492192612314,-11.706206376237866,-17.978007726095868
22.381956807357188,-8.387383762593554,-36.82560259693496,-13.398363168977497,-20.772012933107042
22.410819708733268,-6.298335990918133,-36.8492374680814,-14.752904119911118,-22.54100236015244
25.403050788427112,-4.488501698687893,-35.98254624700395,-17.469047185218734,-23.66389471441834
